direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
436,4.5858807563154e-16,1.0,4.585880756315398e-16
437,4.5744824009697e-16,1.0,4.574482400969698e-16
438,4.2335684937070817e-16,1.0,4.2335684937070797e-16
439,4.2269599161830814e-16,1.0,4.2269599161830794e-16
440,4.195345903326655e-16,1.0,4.195345903326653e-16
441,4.1903743032200362e-16,1.0,4.1903743032200343e-16
442,4.046223423074338e-16,1.0,4.046223423074336e-16
443,4.0232373952288175e-16,1.0,4.0232373952288156e-16
444,3.7929577420073327e-16,1.0,3.792957742007331e-16
445,3.737818858132054e-16,1.0,3.7378188581320524e-16
446,3.727383043744097e-16,1.0,3.7273830437440957e-16
447,3.569095563779077e-16,1.0,3.5690955637790753e-16
448,3.5306231084256655e-16,1.0,3.530623108425664e-16
449,3.4169927486621145e-16,1.0,3.416992748662113e-16
450,3.4014367678642795e-16,1.0,3.401436767864278e-16
451,3.386116168424517e-16,1.0,3.3861161684245155e-16
452,3.3635772483288314e-16,1.0,3.36357724832883e-16
453,3.3357600028061796e-16,1.0,3.335760002806178e-16
454,3.3102609759819947e-16,1.0,3.310260975981994e-16
455,3.172407749181112e-16,1.0,3.1724077491811117e-16
456,3.1638693200138435e-16,1.0,3.163869320013843e-16
457,3.122528349636259e-16,1.0,3.1225283496362585e-16
458,3.108855278986912e-16,1.0,3.1088552789869117e-16
459,3.089812080154568e-16,1.0,3.0898120801545673e-16
460,3.05649639404511e-16,1.0,3.0564963940451095e-16
461,3.0206035804630107e-16,1.0,3.02060358046301e-16
462,3.01759707761229e-16,1.0,3.0175970776122897e-16
463,2.9099515790145622e-16,1.0,2.909951579014562e-16
464,2.9004579459205485e-16,1.0,2.900457945920548e-16
465,2.7881257372205196e-16,1.0,2.788125737220519e-16
